CASE_ID,CATEGORY,CASE_TITLE,CASE_DESCRIPTION,LAST_UPDATE,STATUS,DATE_CREATED,DATE_CLOSED,REQUIRED_ESCALATION
CASE-88459,Promotions and Discounts,Discount Code Not Applied at Checkout,"I tried to use the discount code 'SUMMER21' at checkout, but it wasn't applied to my order. The promotion was supposed to give me 20% off on all items in my cart. Can you please help me apply this discount to my purchase?","(""The discount code 'SUMMER21' had expired. We have issued a new 20% off code 'NEW20' which you can use on your next purchase. The new code has been emailed to you."",)",Resolved,2024-04-09 16:27:44.827004,2024-04-16 08:17:50.827004,False
CASE-11078,Account Management,Unable to Update Billing Information,"I am trying to update my billing information on my account, but every time I try to save the new details, I receive an error message. I have verified that all inputs are correct and I have tried using different browsers with no success. Please assist.","('Support agent resolved the issue by clearing the account cache and manually updating the billing information. Customer confirmed that the issue is now resolved.',)",Resolved,2024-05-26 16:41:27.827004,2024-05-31 15:37:45.827004,False
CASE-49538,Promotions and Discounts,Discount Code Not Applied at Checkout,"I tried to use the promo code 'SUMMER2023' during my checkout process, but the discount wasn't applied to my order. I've checked the terms and conditions, and my order meets all the requirements for the discount. Can someone please assist in applying the discount to my order?","(""The issue was due to a minor glitch in our system. We have manually applied the discount to the user's order and provided an additional 10% off coupon for future purchases as a goodwill gesture."",)",Closed,2024-04-05 11:44:29.827004,2024-04-10 02:02:04.827004,False
CASE-19597,Shipping and Delivery,Delayed Delivery for Order #982736,"I placed an order on your website two weeks ago, and it was supposed to arrive within 5-7 business days. However, I have yet to receive my package, and there hasn't been any update on the tracking information. I urgently need these items for an event this weekend. Could you please help me locate my order or expedite the shipping process?","('The package was located and expedited shipping was arranged. The customer has been informed and the new estimated delivery is within 2 days.',)",Resolved,2024-04-01 15:01:05.827004,2024-04-06 22:26:53.827004,False
CASE-65752,Account Management,Issue with Updating Billing Address,"I have tried multiple times to update my billing address, but each time I get an error message saying 'address update failed'. I've checked the address details and they are correct. Please assist in updating my billing address to the new one.","('Support agent confirmed the issue was due to a system bug and manually updated the billing address for the customer. Customer confirmed the new address is now saved correctly.',)",Open,2024-04-21 17:54:19.827004,2024-04-21 21:08:45.827004,False
CASE-18834,Shipping and Delivery,Package Not Delivered Despite Multiple Tracking Updates,"I placed an order on your platform two weeks ago, and according to the tracking number, it was supposed to be delivered four days ago. However, despite several tracking updates indicating that the package was out for delivery, I've yet to receive it. I've even checked with my neighbors to see if it was misdelivered. Can you please help resolve this issue and let me know where my package is?","(""The package was located by the delivery service in a neighboring building. Arrangements have been made for redelivery, and a courtesy credit has been issued to the customer's account."",)",Resolved,2024-05-23 16:55:11.827004,2024-05-29 22:57:13.827004,False
CASE-11964,Account Management,Issue with resetting account password,I have been trying to reset my password for the past week but I am not receiving the password reset email. I've checked my spam folder multiple times and there is nothing there. Please assist me in getting back into my account as soon as possible.,"('Agent confirmed email address and sent a manual password reset link to the customer. Follow-up confirmed that the customer successfully reset their password and regained access to their account.',)",Resolved,2024-06-09 06:56:50.827004,2024-06-14 08:49:26.827004,False
CASE-28718,Shipping and Delivery,Missing Tracking Number for Recent Order,I recently made an order on your platform and have not received a tracking number. The order was placed over a week ago and I expected to receive some shipping information by now. Can someone please help me track my package? I am concerned that it might be lost.,"(""Support agent confirmed that the tracking number was not initially generated due to a system error. The issue has been resolved and the tracking number has been sent to the customer's email. Customer has been reassured and provided with compensation for the delay."",)",Resolved,2024-03-22 20:02:40.827004,2024-03-29 01:32:25.827004,False
CASE-47239,Order Issues,Incorrect Item Received in Order #12345,I ordered a size M t-shirt but received a size L. The packaging slip shows my correct order details but the tag on the shirt and the actual item are both the wrong size. I need assistance with returning this item and getting the correct size shipped.,"('The correct size M t-shirt has been shipped to the customer, and return labels for the size L have been provided. Please confirm receipt and return at your earliest convenience.',)",Resolved,2024-05-06 13:18:19.827004,2024-05-11 18:33:46.827004,False
CASE-23182,Shipping and Delivery,Order Not Delivered After Promised Date,"I placed an order two weeks ago and it was supposed to be delivered within 5-7 business days. However, I have yet to receive my package. Can you please check the status of my shipment and provide an update on when it might arrive?","('The order tracking system shows that the package was delayed due to inclement weather in the transit area. I have coordinated with the shipping carrier, and they have assured us that the package will be delivered within the next 48 hours. I apologize for the inconvenience and appreciate your patience.',)",Closed,2024-04-26 10:24:27.827004,2024-05-02 10:14:26.827004,False
CASE-99627,Shipping and Delivery,Package stuck in transit for over a week,"I placed an order two weeks ago, and the tracking information shows that the package has been stuck in transit for over a week now with no updates. It was supposed to be delivered three days ago. Can someone please help me locate my package or inform me of any delays?","('The support team contacted the shipping carrier, who confirmed that the package was delayed due to a sorting error. The package has been expedited and should arrive within the next two days. The customer has been informed and given a voucher for their inconvenience.',)",Resolved,2024-03-05 04:38:16.827004,2024-03-12 02:30:51.827004,False
CASE-42419,Shipping and Delivery,Package not received despite tracking showing delivered,"I placed an order last week and received a notification that my package was delivered yesterday, but I haven't received it. I checked with my neighbors and they haven't seen it either. Can you please help me locate my package?","('We have initiated an investigation with the carrier regarding the missing package. In the meantime, we have also processed a replacement order for you, which should arrive within 3-5 business days. We appreciate your patience and understanding.',)",Resolved,2024-05-28 14:37:55.827004,2024-05-29 16:52:39.827004,False
CASE-99701,Account Management,Issue with Resetting Password on My Account,"I am unable to reset my account password. I have tried multiple times and even followed the instructions provided in the help section. Each time, I receive an error message stating that my request cannot be processed at this time. I need immediate assistance as I am unable to access my account to make necessary updates to my orders.","('Assisted the user in resetting their password manually from our end. Verified that the user is now able to log in and access their account without any issues. Followed up with a confirmation email to ensure the issue has been completely resolved.',)",Resolved,2024-06-02 01:21:26.827004,2024-06-03 07:17:13.827004,False
CASE-49260,Shipping and Delivery,Package not delivered after estimated date,"I placed an order two weeks ago and the estimated delivery date has passed, but I have not received my package yet. I checked the tracking information and it seems the package has been stuck at a transit location for the past few days. I need help locating my package or getting a replacement if it's lost.","('The support team contacted the shipping carrier and confirmed that the package was delayed due to unforeseen circumstances. Arrangements for expedited delivery have been made and the customer has been informed. The package is expected to arrive within the next two days.',)",Closed,2024-06-10 03:28:05.827004,2024-06-11 16:33:28.827004,False
CASE-44423,Promotions and Discounts,Unable to Apply Summer Sale Discount on Checkout,"Hi, I'm trying to apply the summer sale discount code 'SUMMER2023' at checkout, but it says the code is invalid. I have ensured that my cart meets the minimum purchase requirement and that the code isn't expired. Can you help me resolve this issue?","(""After investigating, the issue was due to a misconfiguration in the discount code settings. The settings have been corrected, and the customer can now apply the 'SUMMER2023' discount code successfully. I have informed the customer via email."",)",Resolved,2024-05-18 15:02:07.827004,2024-05-21 01:32:02.827004,False
CASE-26132,Shipping and Delivery,Missing items in my shipped order,"I received my order today, but there were three items missing from the shipment. The invoice lists them, but they are not in the package. I need these items urgently as they are gifts. Order number is #12345.","('We have processed a reshipment of the missing items and issued a 10% discount on your next purchase. Please expect the new items to arrive within 5-7 business days.',)",Closed,2024-04-26 19:24:50.827004,2024-04-29 23:26:46.827004,True
CASE-94633,Shipping and Delivery,Package Not Delivered After Estimated Date,"I placed an order two weeks ago and the estimated delivery date was last Friday. However, I still have not received my package and the tracking number hasn't been updated in several days. Can someone please look into this and let me know when I can expect my delivery?","('The package was delayed due to an error in the sorting facility. We have escalated the issue with our shipping partner, and your package is now on expedited delivery. You should receive it within the next 2-3 business days. We apologize for the inconvenience.',)",Resolved,2024-06-16 08:44:25.827004,2024-06-18 20:09:27.827004,False
CASE-82396,Product Inquiry,Question Regarding Color Options for Summer Dress,"Hello, I am interested in purchasing the summer dress listed on your website, but I noticed that the color options are not clearly displayed. Could you please provide more details or pictures of the available colors? Thank you!","('We have uploaded additional photos to the product page showing all available color options. Thank you for bringing this to our attention, and we hope this helps with your purchase decision.',)",Closed,2024-06-01 14:48:59.827004,2024-06-07 04:44:21.827004,False
CASE-74753,Shipping and Delivery,Package Not Delivered Despite Being Marked as Shipped,I ordered a laptop two weeks ago and it still hasn't arrived. The tracking information shows it was shipped and should have been delivered last week. I've checked with my local post office and the carrier but they have no record of the package. Can you help me locate my order?,"('We have escalated the issue to our shipping department and confirmed that the package was lost in transit. A replacement laptop has been shipped with expedited delivery, and the customer has been provided with the new tracking number.',)",Resolved,2024-03-28 13:01:29.827004,2024-03-29 03:35:46.827004,False
CASE-18909,Shipping and Delivery,Package not delivered despite tracking status showing 'delivered',"I was expecting a package today and received a notification that it has been delivered to my address, but I did not receive anything. I checked with my neighbors but they also didn’t see any package. Can you please help me locate my order?","('We contacted the delivery carrier and confirmed that the package was misplaced. A replacement order has been shipped and is expected to arrive within 3-5 business days. An extra discount voucher has been added to your account for the inconvenience.',)",Resolved,2024-04-12 20:57:32.827004,2024-04-18 13:46:53.827004,False
CASE-40081,Shipping and Delivery,Package Tracking Number Not Updating,"I placed an order last week, and I received a tracking number, but it hasn't updated in three days. I need this package urgently for a birthday gift. Can you please check on the status and provide an update?","('Our team investigated the issue and found that the package was delayed due to weather conditions. It is now on its way and expected to be delivered within the next two days. We apologize for the inconvenience and appreciate your patience.',)",Resolved,2024-05-18 11:30:16.827004,2024-05-24 02:17:05.827004,False
CASE-66975,Shipping and Delivery,"Package Marked as Delivered, But Not Received","I received an email notification that my order #12345 was delivered today, but I haven't found the package anywhere. I checked with my neighbors and looked around my property. I've also reviewed the delivery confirmation photo, and it doesn't seem to be my doorstep. Can someone provide more information or help locate my package?","('Support agent confirmed the package was mistakenly delivered to the wrong address. The agent coordinated with the delivery service to retrieve the parcel and arranged a new delivery. Customer was informed and given a discount on the next purchase for the inconvenience.',)",Resolved,2024-05-04 22:42:16.827004,2024-05-10 12:25:16.827004,False
CASE-44455,Account Management,Unable to Update Email Address in Account Settings,"I have been trying to update my email address in the account settings for several days now, but keep receiving an error message stating 'email change failed.' I've tried multiple browsers and cleared my cache, but nothing works. Can someone please assist?","('Our technical team has identified the issue and implemented a fix. The email address has been successfully updated. Please verify and let us know if there are any further issues.',)",Resolved,2024-03-06 15:56:23.827004,2024-03-10 05:23:10.827004,False
CASE-77665,Shipping and Delivery,Package not arrived after two weeks,"I placed an order for a new pair of running shoes two weeks ago, but I have yet to receive my package. The tracking number provided shows no updates in the last 10 days. I'm concerned my package is lost in transit. Could you please help me locate it or provide a resolution?","('Support agent confirmed that the package was lost in transit and provided the user with a full refund and a discount code for their next purchase. Customer has been informed and is satisfied with the resolution.',)",In Progress,2024-06-22 07:47:28.827004,2024-06-28 17:57:13.827004,False
CASE-62257,Order Issues,Order Never Arrived Despite Shipment Notification,"I placed an order over two weeks ago and received a notification stating that the order had been shipped. However, I have not received the package yet. I checked the tracking information, but it hasn't been updated since it was shipped. Can you please investigate what happened to my order?","('The courier confirmed that the package was lost in transit. We have processed a full refund for your order and provided a 20% discount code for your next purchase as a gesture of goodwill.',)",Resolved,2024-04-29 09:28:35.827004,2024-04-30 01:35:05.827004,True
CASE-52140,Order Issues,Missing Items in Package Delivered,"I just received my order #123456 and two of the items that I purchased are missing. I ordered 5 items in total, but only 3 were delivered. Please help resolve this issue as soon as possible.","('Our team has identified the issue in your order. The missing items have been shipped and you should receive them within the next 3-5 business days. Apologies for the inconvenience.',)",Resolved,2024-06-05 16:50:17.827004,2024-06-08 15:37:55.827004,False
CASE-39912,Shipping and Delivery,Package Still Not Delivered After Estimated Date,"I placed an order two weeks ago, and it was supposed to arrive four days ago, but I haven't received my package yet. The tracking information hasn't been updated in a week, and I'm starting to get worried. Can you please look into this issue?","('The support team has contacted the shipping carrier and confirmed that there was a delay due to weather conditions. The package is now in transit and is expected to arrive within the next two days. We apologize for the inconvenience and appreciate your patience.',)",Resolved,2024-06-09 19:33:29.827004,2024-06-15 17:20:24.827004,False
CASE-93828,Shipping and Delivery,Order not arrived after estimated delivery date,"I placed an order two weeks ago, and it still hasn't arrived even though the estimated delivery date was three days ago. My order number is #123456. I would like to know the current status of my order and when I can expect it to be delivered. This is quite urgent as it contains items I need for an upcoming event.","('Support agent confirmed that the package was delayed due to unforeseen weather conditions. Provided customer with a new estimated delivery date and a 15% discount on their next purchase as compensation. Customer has been notified and acknowledged the update.',)",Resolved,2024-04-16 09:05:33.827004,2024-04-22 10:32:42.827004,False
CASE-71578,Returns and Refunds,Issue with Refund Not Processed for Returned Item,"I returned a pair of shoes I bought last month. The item was delivered back to your warehouse two weeks ago, but I still haven’t received my refund. I need to understand why the refund hasn't been processed yet and how soon I can expect to see the money back in my account.","('We have confirmed receipt of the returned item at our warehouse. The refund has now been processed and you should see the amount credited back to your account within 3-5 business days. Please let us know if you need any further assistance.',)",Closed,2024-06-21 03:23:32.827004,2024-06-21 13:58:15.827004,False
CASE-76256,Payments and Billing,Unexpected Charges on Credit Card After Purchase,I noticed two additional charges on my credit card after making a purchase on your platform. The amounts do not match the total of my order. Can you explain what these charges are for and how to get them removed?,"('Our team has reviewed your account and identified that the charges were due to a system error. We have reversed the charges and credited the amount back to your card. Please allow 3-5 business days for the refund to appear on your statement. We apologize for any inconvenience caused.',)",Resolved,2024-05-02 07:28:36.827004,2024-05-03 10:31:01.827004,False
CASE-82224,Product Inquiry,Inquiry About Availability of Out-of-Stock Winter Coat,"Hello, I noticed that the winter coat product ID 12345 is currently out of stock. I have been looking for this particular item for quite some time and I would like to know when it will be available again. Could you please provide an estimated restock date or suggest any similar alternatives that are currently available? Thank you!","('The customer has been informed that the winter coat is expected to be back in stock in two weeks. We have also provided recommendations for three similar products that are currently available. Awaiting customer response for further assistance.',)",Resolved,2024-04-30 19:05:38.827004,2024-05-05 11:56:56.827004,False
CASE-17287,Order Issues,Missing Items in Delivered Order #10245,"I received my order #10245 yesterday, but two of the items (SKUs 45321 and 45322) are missing from the package. The packing slip indicates they should be included. Please help resolve this issue as soon as possible. Thank you.","('We have confirmed that the missing items were not included due to a warehouse error. Replacements have been shipped and you should receive them within 3-5 business days. Apologies for the inconvenience.',)",Resolved,2024-04-15 16:15:58.827004,2024-04-20 19:16:55.827004,False
CASE-70866,Account Management,Unable to Update Email Address in Account Settings,"I have been trying to update my email address in the account settings, but every time I input the new email and hit save, the page refreshes without saving the changes. I need to update my email for order notifications and receipts. Can you please help me resolve this issue?","('The issue has been resolved. We identified a bug in the email update process and have implemented a fix. Please try updating your email address again and let us know if you encounter any further issues.',)",Resolved,2024-06-11 17:47:02.827004,2024-06-14 21:57:20.827004,False
CASE-92690,Shipping and Delivery,Package Not Delivered Despite Tracking Showing 'Delivered',"I ordered a laptop from your site and the tracking information shows it was delivered yesterday, but I never received the package. I have checked with my neighbors and around my house, but there is no sign of it. Can you please look into this as soon as possible?","('We have investigated the issue with our shipping partner and it appears the package was misdelivered. We apologize for the inconvenience and have processed a replacement shipment with expedited delivery at no additional charge.',)",In Progress,2024-06-16 08:32:21.827004,2024-06-20 03:03:53.827004,False
CASE-16073,Shipping and Delivery,Package Not Delivered After Estimated Date,"I placed an order two weeks ago, and the estimated delivery date was last week, but I haven't received my package yet. The tracking information hasn't been updated in days. Can someone please check on the status of my delivery?","(""The package was stuck at a sorting facility due to an issue with the label. We've contacted the shipping carrier, and they have resolved the issue. The package is now out for delivery and should arrive within 2 days. We apologize for the inconvenience."",)",Open,2024-03-31 10:19:43.827004,2024-04-02 14:47:36.827004,False
CASE-68503,Shipping and Delivery,Missing Items in Two Separate Shipments,"Hello, I recently placed two orders on your platform, and both shipments arrived with items missing. For the first order, the tracking ID is 12345ABC and I did not receive the shoes. For the second order, the tracking ID is 67890XYZ and the watch was not included. I need assistance as soon as possible to understand why these items were not included and when I can expect to receive them. Thanks.","('The support team has located the missing items and they are being shipped out today via express delivery. We have also provided a 10% discount on your next purchase as a goodwill gesture. Apologies for the inconvenience.',)",Open,2024-06-23 13:28:26.827004,2024-06-28 19:04:38.827004,False
CASE-17377,Promotions and Discounts,Discount Code Not Applying at Checkout,"I tried to use the discount code 'SUMMER20' during checkout to get 20% off as advertised. However, when I applied it, the discount wasn't reflected in my total amount. I even tried refreshing and entering the code again, but it still didn't work. Please assist as I would like to complete my purchase with the discount.","(""The issue was resolved by our support team who identified a typo in the discount code. The correct code 'SUMMER2021' was provided to the customer and successfully applied to their order."",)",Resolved,2024-06-20 18:59:49.827004,2024-06-25 11:59:05.827004,False
CASE-78056,Shipping and Delivery,Package marked as delivered but not received,"I received an email notification stating that my package was delivered, but I have not received it. I've checked around my property, asked neighbors, and even contacted the carrier directly but with no success. This package contains important items I need urgently.","('The support team has initiated an investigation with the carrier. Additionally, we have issued a replacement order for the items at no extra cost to the customer. The new tracking information will be provided once available.',)",Resolved,2024-04-22 14:14:25.827004,2024-04-24 18:35:35.827004,False
CASE-53362,Payments and Billing,Unauthorized charge on my credit card,"I noticed an unauthorized charge on my credit card statement from your platform. The transaction was for $89.99, and I have not made any such purchase. Could you please look into this and reverse the charge?","('Our team has reviewed your account and confirmed the unauthorized charge. We have processed a refund of $89.99 to your credit card. Please allow 3-5 business days for the amount to reflect in your account.',)",Resolved,2024-04-28 13:57:19.827004,2024-04-30 03:43:14.827004,False
CASE-55360,Account Management,Unable to Update Email Address in Account Settings,"I have been trying to update my email address in the account settings, but I keep getting an error message stating that the email address is invalid. I've tried multiple valid email addresses, but none of them seem to work. Please help as I need to update my email for account notifications.","(""The issue was resolved by verifying and clearing the incorrect records associated with the customer's account in the database. The customer was able to successfully update their email address. Case closed with customer confirmation."",)",Closed,2024-03-23 18:51:29.827004,2024-03-25 12:53:30.827004,True
CASE-66057,Promotions and Discounts,Discount Code Not Applying at Checkout for First-Time Buyers,"I tried to use the 'WELCOME10' discount code for my first purchase on your platform, but it didn't apply at checkout. The website kept saying the code is invalid or expired. I confirmed with your promotions page that this offer is still ongoing and valid for new customers. Could you please help me resolve this issue?","(""Support agent verified that the discount code 'WELCOME10' was active and valid. Discovered that the user's account had a pre-existing issue preventing the discount from applying. Resolved the issue by manually applying a 10% discount to the user's cart and ensured the code works for future purchases. Customer has been notified and is satisfied with the resolution."",)",Resolved,2024-05-16 21:21:29.827004,2024-05-20 22:06:36.827004,False
CASE-78245,Promotions and Discounts,Discount Coupon Not Applying at Checkout,"I received a promotional email with a discount code for 15% off my next purchase. However, when I try to apply the code at checkout, it says the code is invalid. I've double-checked the expiration date and it's still valid. Please help me resolve this issue so I can complete my purchase.","('The discount code was found to have a typographical error in the database. The issue has been corrected and the customer has been notified to try applying the code again.',)",Open,2024-03-11 08:00:10.827004,2024-03-15 04:07:54.827004,False
CASE-64152,Returns and Refunds,Refund not processed for returned item,I returned an item (Order #12345) over two weeks ago and haven't received a refund. I followed all the return instructions and have the tracking info which shows that the return was delivered back to your warehouse a week ago. Please assist me in processing my refund as soon as possible.,"('Thank you for your patience. We have confirmed the receipt of your returned item and processed your refund. You should see the credit on your original payment method within 3-5 business days.',)",Resolved,2024-03-18 23:04:04.827004,2024-03-25 03:09:58.827004,False
